prompt,completion
"How much HP does the Rock Wasp have?","290"
"What rage can be learned from the Rock Wasp?","Sleepsting"
"What sketch can be drawn from the Rock Wasp?","Attack (3/4), Sleepsting (1/4)"
"What abilities can be used while controlling the Rock Wasp?","Attack, Sleepsting, Sleep"
"What is the Paraladia known as on the SNES?","Over Grunk"
"What is the weakness of the Paraladia?","Poison, MagiTek, Invisible, Petrify, Death, Doom, Critical, Image, Silence, Sap, Slow, Stop"
"Where is the Paraladia located?","Forest near Kohlingen"
"What can be stolen from the Paraladia?","Hi-Potion (7/8), Remedy (1/8)"
"What is the special attack of the Paraladia?","Poison Touch (inflicts 'Poison')"
"What status effects does the Paraladia resist?","Darkness, Zombie, Imp, Berserk, Confusion, Sleep"
"How much HP does the Paraladia have?","492"
"What rage can be learned from the Paraladia?","Poison Touch"
"What sketch can be drawn from the Paraladia?","Poison (3/4), Poison Touch (1/4)"
"What abilities can be used while controlling the Paraladia?","Attack, Poison Touch, Confuse"
"What is the weakness of the Harvester?","Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep"
"Where is the Harvester located?","Zozo [WoB & WoR]"
"What does the Harvester drop?","Barrier Ring (1/8)"
"What can be stolen from the Harvester?","Silver Spectacles (7/8), Dragoon Boots (1/8)"
"What type of monster is the Harvester?","Humanoid"
"What is the special attack of the Harvester?","Sickle (150% damage)"
"What status effects does the Harvester resist?","Imp, Slow, Stop"
"How much HP does the Harvester have?","428"
"What rage can be learned from the Harvester?","Haste"
"What sketch can be drawn from the Harvester?","Dancing Flame (3/4), Sickle (1/4)"
"What abilities can be used while controlling the Harvester?","Attack, Sickle, Drain"
"What is the Hill Gigas known as on the SNES?","HadesGigas"
"What is the weakness of the Hill Gigas?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Hill Gigas located?","Zozo (Outside) [WoB & WoR]"
"What can be stolen from the Hill Gigas?","Gigas Glove (1/8)"
"What type of monster is the Hill Gigas?","Humanoid"
"What is the special attack of the Hill Gigas?","Headbutt (400% damage)"
"What status effects does the Hill Gigas absorb?","Earth"
"How much HP does the Hill Gigas have?","1200"
"What rage can be learned from the Hill Gigas?","Magnitude 8"
"What sketch can be drawn from the Hill Gigas?","Magnitude 8 (3/4), Headbutt (1/4)"
"What abilities can be used while controlling the Hill Gigas?","Attack, Headbutt, Magnitude 8"
"What is the Gobbledygook known as on the SNES?","Gabbldegak"
"What is the weakness of the Gobbledygook?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Gobbledygook located?","Zozo [WoB & WoR]"
"What can be stolen from the Gobbledygook?","Eye Drops (7/8), Phoenix Down (1/8)"
"What type of monster is the Gobbledygook?","Humanoid"
"What is the special attack of the Gobbledygook?","Golden Wrench (150% damage)"
"How much HP does the Gobbledygook have?","350"
"What rage can be learned from the Gobbledygook?","Vanish"
"What sketch can be drawn from the Gobbledygook?","Vanish (3/4), Golden Wrench (1/4)"
"What abilities can be used while controlling the Gobbledygook?","Attack, Golden Wrench, Vanish"
"What is the Veil Dancer known as on the SNES?","SlamDancer"
"What is the weakness of the Veil Dancer?","Darkness, Zombie, MagiTek, Invisible, Petrify, Death, Doom, Critical, Image, Silence, Sap, Sleep, Slow, Stop"
"Where is the Veil Dancer located?","Zozo (Inside) [WoB & WoR]"
"What can be stolen from the Veil Dancer?","Hi-Potion (7/8), Thief's Knife (1/8)"
"What type of monster is the Veil Dancer?","Humanoid"
"What is the special attack of the Veil Dancer?","Mysterious Dance (inflicts 'Sleep')"
"What status effects does the Veil Dancer resist?","Poison, Imp, Berserk, Confusion"
"How much HP does the Veil Dancer have?","392"
"What rage can be learned from the Veil Dancer?","Blizzara"
"What sketch can be drawn from the Veil Dancer?","Blizzara (3/4), Fira (1/4)"
"What abilities can be used while controlling the Veil Dancer?","Attack, Fira, Blizzara, Thundara"
"What is the Stunner known as on the SNES?","Sewer Rat"
"What is the weakness of the Stunner?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Stunner located?","Opera House (While trying to stop Ultros)"
"What can be stolen from the Stunner?","Hi-Potion (7/8)"
"What is the special attack of the Stunner?","Incisors (150% damage)"
"What status effects does the Stunner absorb?","Poison"
"How much HP does the Stunner have?","299"
"What rage can be learned from the Stunner?","Incisors"
"What sketch can be drawn from the Stunner?","Attack (3/4), Incisors (1/4)"
"What abilities can be used while controlling the Stunner?","Attack, Incisors"
"What is the Goetia known as on the SNES?","Vermin"
"What is the weakness of the Goetia?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Goetia located?","Opera House (While trying to stop Ultros)"
"What does the Goetia drop?","Hi-Potion (1/8)"
"What can be stolen from the Goetia?","Hi-Potion (7/8), Antidote (1/8)"
"What is the special attack of the Goetia?","Bacteria (inflicts 'Sap')"
"What status effects does the Goetia absorb?","Poison"
"How much HP does the Goetia have?","499"
"What rage can be learned from the Goetia?","Libra"
"What sketch can be drawn from the Goetia?","Bio (3/4), Bacteria (1/4)"
"What abilities can be used while controlling the Goetia?","Attack, Bacteria, Bio"
"What is the Litwor Chicken known as on the SNES?","ChickenLip"
"What is the weakness of the Litwor Chicken?","Darkness, Zombie, MagiTek, Invisible, Critical, Image, Berserk, Confusion, Sap, Slow, Stop"
"Where is the Litwor Chicken located?","Grass on Southern Continent (Near Albrook and South-East) Forest on Southern Continent"
"What can be stolen from the Litwor Chicken?","Potion (7/8), Sleeping Bag (1/8)"
"What is the special attack of the Litwor Chicken?","Lick (inflicts 'Silence')"
"What status effects does the Litwor Chicken resist?","Poison, Imp, Petrify, Death, Doom, Silence, Sleep"
"How much HP does the Litwor Chicken have?","545"
"What rage can be learned from the Litwor Chicken?","Quake"
"What sketch can be drawn from the Litwor Chicken?","Quake (3/4), Lick (1/4)"
"What abilities can be used while controlling the Litwor Chicken?","Attack, Lick, Quake"
"What is the weakness of the Joker?","Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Joker located?","Grass on Southern Continent (Near Albrook and South-East)"
"What does the Joker drop?","Mythril Rod (1/8)"
"What can be stolen from the Joker?","Potion (7/8), Green Beret (1/8)"
"What type of monster is the Joker?","Humanoid"
"What is the special attack of the Joker?","Parasol (200% damage)"
"What status effects does the Joker resist?","Imp"
"How much HP does the Joker have?","467"
"What rage can be learned from the Joker?","Thundara"
"What sketch can be drawn from the Joker?","Thundara (3/4), Parasol (1/4)"
"What abilities can be used while controlling the Joker?","Attack, Parasol, Thundara, Acid Rain"
"What is the Don known as on the SNES?","Ralph"
"What is the weakness of the Don?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Don located?","Grass on Southern Continent (Everywhere) Forest on Southern Continent"
"What does the Don drop?","Hi-Potion (1/8)"
"What can be stolen from the Don?","Potion (7/8), Tiger Mask (1/8)"
"What is the special attack of the Don?","Tackle (150% damage)"
"What status effects does the Don resist?","Petrify"
"How much HP does the Don have?","620"
"What rage can be learned from the Don?","Tackle"
"What sketch can be drawn from the Don?","Attack (3/4), Tackle (1/4)"
"What abilities can be used while controlling the Don?","Attack, Tackle"
"What is the weakness of the Wyvern?","Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Wyvern located?","Grass on Southern Continent (Everywhere)"
"What can be stolen from the Wyvern?","Potion (7/8), Dragoon Boots (1/8)"
"What is the special attack of the Wyvern?","Wing Sap (inflicts 'Sap')"
"What status effects does the Wyvern resist?","Imp"
"How much HP does the Wyvern have?","892"
"What rage can be learned from the Wyvern?","Cyclonic"
"What sketch can be drawn from the Wyvern?","Cyclonic (3/4), Wing Sap (1/4)"
"What abilities can be used while controlling the Wyvern?","Attack, Wing Sap, Cyclonic"
"What is the Grasswyrm known as on the SNES?","WeedFeeder"
"What is the weakness of the Grasswyrm?","Zombie, Poison, MagiTek, Invisible, Petrify, Death, Doom, Critical, Image, Berserk, Confusion, Sap, Slow, Stop"
"Where is the Grasswyrm located?","Grass on Southern Continent (Around Vector, Maranda, and Tzen)"
"What does the Grasswyrm drop?","Echo Screen (1/8)"
"What can be stolen from the Grasswyrm?","Antidote (Always)"
"What is the special attack of the Grasswyrm?","Wing Snap (inflicts 'Berserk')"
"What status effects does the Grasswyrm resist?","Darkness, Imp, Silence, Sleep"
"How much HP does the Grasswyrm have?","480"
"What rage can be learned from the Grasswyrm?","Berserk"
"What sketch can be drawn from the Grasswyrm?","Lifeshaver (3/4), Wing Snap (1/4)"
"What abilities can be used while controlling the Grasswyrm?","Attack, Wing Snap, Berserk"
"What is the weakness of the Grenade?","Darkness, Zombie, Poison, MagiTek, Invisible, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Grenade located?","Forest to the West of Veldt"
"What can be stolen from the Grenade?","Flame Scroll (1/8)"
"What is the special attack of the Grenade?","Mesmerize (inflicts 'Berserk')"
"What status effects does the Grenade resist?","Imp, Petrify"
"What status effects does the Grenade absorb?","Fire"
"How much HP does the Grenade have?","3000"
"What rage can be learned from the Grenade?","Blaze"
"What sketch can be drawn from the Grenade?","Blaze (3/4), Mesmerize (1/4)"
"What abilities can be used while controlling the Grenade?","Attack, Mesmerize, Blaze, Fireball"
"What is the weakness of the Bug?","Zombie, Poison, MagiTek, Invisible, Petrify, Death, Doom, Critical, Image, Berserk, Confusion, Sap, Slow, Stop"
"Where is the Bug located?","Deserts on Southern Continent"
"What can be stolen from the Bug?","Gold Needle (7/8), Hi-Potion (1/8)"
"What is the special attack of the Bug?","Stone Sting (inflicts 'Petrify')"
"What status effects does the Bug resist?","Darkness, Imp, Silence, Sleep"
"How much HP does the Bug have?","310"
"What rage can be learned from the Bug?","Stop"
"What sketch can be drawn from the Bug?","Attack (3/4), Stone Sting (1/4)"
"What abilities can be used while controlling the Bug?","Attack, Stone Sting"
"What is the Onion Knight known as on the SNES?","Pipsqueak"
"What is the weakness of the Onion Knight?","Darkness, Invisible, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sleep, Slow, Stop"
"Where is the Onion Knight located?","Vector (Talk to the soldier in the Magitek suit) Magitek Research Facility (1st & 2nd Room; Room after Espers; While escaping from Magitek Research Facility)"
"What can be stolen from the Onion Knight?","Potion (7/8)"
"What type of monster is the Onion Knight?","Humanoid"
"What is the special attack of the Onion Knight?","Program 55 (inflicts 'Imp')"
"What status effects does the Onion Knight resist?","Zombie, Poison, MagiTek, Imp, Petrify, Sap"
"How much HP does the Onion Knight have?","250"
"What rage can be learned from the Onion Knight?","Imp"
"What sketch can be drawn from the Onion Knight?","Roulette (3/4), Imp (1/4)"
"What abilities can be used while controlling the Onion Knight?","Attack, Gravity, Graviga"
"What is the Sergeant known as on the SNES?","Commando"
"What is the weakness of the Sergeant?","Darkness, Invisible, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sleep, Slow, Stop"
"Where is the Sergeant located?","Imperial Observation Post (Walking Soldier) Vector (Confront a soldier walking around) Magitek Research Facility (1st & 2nd Room; While escaping from Magitek Research Facility) Vector (While talking to 24 Soldiers before Banquet)"
"What does the Sergeant drop?","Tent (1/8)"
"What can be stolen from the Sergeant?","Tent (7/8), Mythril Vest (1/8)"
"What type of monster is the Sergeant?","Humanoid"
"What is the special attack of the Sergeant?","Program 65 (inflicts 'Silence')"
"What status effects does the Sergeant resist?","Zombie, Poison, MagiTek, Imp, Petrify, Sap"
"How much HP does the Sergeant have?","580"
"What rage can be learned from the Sergeant?","Reflect"
"What sketch can be drawn from the Sergeant?","Attack (3/4), Program 65 (1/4)"
"What abilities can be used while controlling the Sergeant?","Attack, Program 65, Shell"
"What is the Belzecue known as on the SNES?","Garm"
"What is the weakness of the Belzecue?","Darkness, Invisible, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sleep, Slow, Stop"
"Where is the Belzecue located?","Vector (Confront a soldier walking around) Magitek Research Facility (1st & 2nd Room)"
"What can be stolen from the Belzecue?","Potion (7/8), Phoenix Down (1/8)"
"What is the special attack of the Belzecue?","Program 95 (inflicts 'Confusion')"
"What status effects does the Belzecue resist?","Zombie, Poison, MagiTek, Imp, Petrify, Sap"
"How much HP does the Belzecue have?","615"
"What rage can be learned from the Belzecue?","Gravity"
"What sketch can be drawn from the Belzecue?","Blizzaga (3/4), Program 95 (1/4)"
"What abilities can be used while controlling the Belzecue?","Attack, Program 95, Fira"
"What is the Proto Armor known as on the SNES?","ProtoArmor"
"What is the weakness of the Proto Armor?","Darkness, Invisible, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sleep, Slow, Stop"
"Where is the Proto Armor located?","Imperial Observation Post (Talk to the soldier in the Magitek suit) Vector (Talk to the soldier in the Magitek suit) Magitek Research Facility (1st & 2nd Room)"
"What does the Proto Armor drop?","Bioblaster (1/8)"
"What can be stolen from the Proto Armor?","Hi-Potion (7/8), Mythril Mail (1/8)"
"What is the special attack of the Proto Armor?","Program 35 (150% damage)"
"What status effects does the Proto Armor resist?","Zombie, Poison, MagiTek, Imp, Petrify, Sap"
"How much HP does the Proto Armor have?","670"
"What sketch can be drawn from the Proto Armor?","Magitek Laser (3/4), Program 35 (1/4)"
"What abilities can be used while controlling the Proto Armor?","Attack, Program 35, Magitek Laser, Scintillation"
"What is the weakness of the Trapper?","Darkness, Invisible, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sleep, Slow, Stop"
"Where is the Trapper located?","Magitek Research Facility (Room after Espers; While escaping from Magitek Research Facility)"
"What can be stolen from the Trapper?","Auto Crossbow (1/8)"
"What is the special attack of the Trapper?","Program 18 (bestows 'Reflect')"
"What status effects does the Trapper resist?","Zombie, Poison, MagiTek, Imp, Petrify, Sap"
"How much HP does the Trapper have?","555"
"What rage can be learned from the Trapper?","Lv.3 Confuse"
"What sketch can be drawn from the Trapper?","Lv. 3 Confuse (3/4), Lv. 5 Death (1/4)"
"What abilities can be used while controlling the Trapper?","Attack, Lv. 5 Death, Lv. 3 Confuse, Lv. 4 Flare"
"What is the weakness of the Flan?","Zombie, MagiTek, Invisible, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Flan located?","Magitek Research Facility (basement where you found Shiva & Ifrit)"
"What can be stolen from the Flan?","Potion (7/8), Magicite Shard (1/8)"
"What is the special attack of the Flan?","Sapping Ooze (inflicts 'Sap')"
"What status effects does the Flan resist?","Darkness, Poison, Imp, Petrify"
"How much HP does the Flan have?","255"
"What rage can be learned from the Flan?","Sticky Goo"
"What sketch can be drawn from the Flan?","Sticky Goo (3/4), Sapping Ooze (1/4)"
"What abilities can be used while controlling the Flan?","Attack, Sapping Ooze, Sticky Goo"
"What elements does the Flan resist?","Poison, Wind, Holy, Earth, Water"
"What is the weakness of the General?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the General located?","Magitek Research Facility (Room after Espers)"
"What does the General drop?","Green Cherry (1/8)"
"What can be stolen from the General?","Potion (7/8), Mythril Shield (1/8)"
"What type of monster is the General?","Humanoid"
"What is the special attack of the General?","Bio Attack (inflicts 'Sap')"
"How much HP does the General have?","650"
"What rage can be learned from the General?","Cura"
"What sketch can be drawn from the General?","Cura (3/4), Bio Attack (1/4)"
"What abilities can be used while controlling the General?","Attack, Bio Attack, Cura"
"What is the Destroyer known as on the SNES?","Rhinox"
"What is the weakness of the Destroyer?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Destroyer located?","Magitek Research Facility (After Stair Room)"
"What can be stolen from the Destroyer?","Flash (1/8)"
"What is the special attack of the Destroyer?","Poison Strike (inflicts 'Poison')"
"What status effects does the Destroyer resist?","Petrify, Death, Doom"
"What status effects does the Destroyer absorb?","Lightning"
"How much HP does the Destroyer have?","800"
"What rage can be learned from the Destroyer?","Reraise"
"What sketch can be drawn from the Destroyer?","Reraise (3/4), Poison Strike (1/4)"
"What abilities can be used while controlling the Destroyer?","Attack, Poison Strike, Reraise"
"What is the Lenergia known as on the SNES?","Gobbler"
"What is the weakness of the Lenergia?","Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Lenergia located?","Magitek Research Facility (After Stair Room)"
"What can be stolen from the Lenergia?","Green Cherry (7/8), Hi-Potion (1/8)"
"What is the special attack of the Lenergia?","Silencing Strike (inflicts 'Silence')"
"What status effects does the Lenergia resist?","Imp"
"How much HP does the Lenergia have?","470"
"What rage can be learned from the Lenergia?","Shamshir"
"What sketch can be drawn from the Lenergia?","Shamshir (3/4), Silencing Strike (1/4)"
"What abilities can be used while controlling the Lenergia?","Attack, Silencing Strike, Shamshir"
"What is the Magna Roader (Purple) known as on the SNES?","Mag Roader"
"What is the weakness of the Magna Roader (Purple)?","Darkness, Zombie, Poison, MagiTek, Invisible, Image, Berserk, Sap, Slow, Stop"
"Where is the Magna Roader (Purple) located?","Magitek Research Facility (Mine Cart)"
"What does the Magna Roader (Purple) drop?","Water Scroll (1/8)"
"What can be stolen from the Magna Roader (Purple)?","Lightning Scroll (7/8), Shuriken (1/8)"
"What is the special attack of the Magna Roader (Purple)?","Wheel (150% damage)"
"What status effects does the Magna Roader (Purple) resist?","Imp, Petrify, Death, Doom, Critical, Silence, Confusion"
"What status effects does the Magna Roader (Purple) absorb?","Ice"
"How much HP does the Magna Roader (Purple) have?","420"
"What rage can be learned from the Magna Roader (Purple)?","Bio"
"What sketch can be drawn from the Magna Roader (Purple)?","Attack (3/4), Wheel (1/4)"
"What abilities can be used while controlling the Magna Roader (Purple)?","Attack, Wheel"
"What is the Magna Roader (Red) known as on the SNES?","Mag Roader"
"What is the weakness of the Magna Roader (Red)?","Darkness, Zombie, Poison, MagiTek, Invisible, Image, Silence, Confusion, Sap, Slow, Stop"
"Where is the Magna Roader (Red) located?","Magitek Research Facility (Mine Cart)"
"What does the Magna Roader (Red) drop?","Flame Scroll (1/8)"
"What can be stolen from the Magna Roader (Red)?","Lightning Scroll (7/8), Shuriken (1/8)"
"What is the special attack of the Magna Roader (Red)?","Slam (150% damage)"
"What status effects does the Magna Roader (Red) resist?","Imp, Petrify, Death, Doom, Critical, Berserk, Sleep"
"How much HP does the Magna Roader (Red) have?","250"
"What rage can be learned from the Magna Roader (Red)?","Silence"
"What sketch can be drawn from the Magna Roader (Red)?","Attack (3/4), Slam (1/4)"
"What abilities can be used while controlling the Magna Roader (Red)?","Attack, Slam"
"What is the weakness of the Chaser?","Darkness, Invisible, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sleep, Slow, Stop"
"Where is the Chaser located?","Vector (While escaping from Magitek Research Facility)"
"What can be stolen from the Chaser?","Bioblaster (1/8)"
"What is the special attack of the Chaser?","Program 17 (bestows 'Shell')"
"What status effects does the Chaser resist?","Zombie, Poison, MagiTek, Imp, Petrify, Sap"
"How much HP does the Chaser have?","1202"
"What rage can be learned from the Chaser?","Plasma"
"What sketch can be drawn from the Chaser?","Plasma (3/4), Program 17 (1/4)"
"What abilities can be used while controlling the Chaser?","Attack, Program 17, Plasma, Dischord"
"What is the Outcast known as on the SNES?","Ing"
"What is the weakness of the Outcast?","MagiTek, Invisible, Death, Doom, Critical, Image, Confusion, Sap, Slow, Stop"
"Where is the Outcast located?","Cave to the Sealed Gate (B1F, B2F, and B3F)"
"What does the Outcast drop?","Holy Water (1/8)"
"What can be stolen from the Outcast?","Amulet (1/8)"
"What type of monster is the Outcast?","Undead"
"What is the special attack of the Outcast?","Glare (inflicts 'Darkness')"
"What status effects does the Outcast resist?","Darkness, Zombie, Poison, Imp, Petrify, Silence, Berserk"
"What status effects does the Outcast absorb?","Fire, Poison"
"How much HP does the Outcast have?","1100"
"What rage can be learned from the Outcast?","Lifeshaver"
"What sketch can be drawn from the Outcast?","Lifeshaver (3/4), Glare (1/4)"
"What abilities can be used while controlling the Outcast?","Attack, Glare, Lifeshaver"
"What is the Provoker known as on the SNES?","Apparite"
"What is the weakness of the Provoker?","MagiTek, Invisible, Death, Doom, Critical, Image, Confusion, Sap"
"Where is the Provoker located?","Cave to the Sealed Gate (First Cave; B1F)"
"What does the Provoker drop?","Holy Water (1/8)"
"What can be stolen from the Provoker?","Holy Water (7/8), Hi-Potion (1/8)"
"What type of monster is the Provoker?","Undead"
"What is the special attack of the Provoker?","Sapping Touch (inflicts 'Sap')"
"What status effects does the Provoker resist?","Darkness, Zombie, Poison, Imp, Petrify, Silence, Berserk"
"What status effects does the Provoker absorb?","Fire, Poison"
"How much HP does the Provoker have?","781"
"What rage can be learned from the Provoker?","Imp"
"What sketch can be drawn from the Provoker?","Sapping Touch (Always)"
"What abilities can be used while controlling the Provoker?","Attack, Sapping Touch, Imp"
"What is the Zombie Dragon known as on the SNES?","Zombone"
"What is the weakness of the Zombie Dragon?","MagiTek, Invisible, Death, Doom, Critical, Image, Confusion, Sap, Slow, Stop"
"Where is the Zombie Dragon located?","Cave to the Sealed Gate (B2F and B3F)"
"What does the Zombie Dragon drop?","Phoenix Down (1/8)"
"What can be stolen from the Zombie Dragon?","Phoenix Down (7/8), Hi-Potion (1/8)"
"What type of monster is the Zombie Dragon?","Undead"
"What is the special attack of the Zombie Dragon?","Bone (inflicts 'Zombie')"
"What status effects does the Zombie Dragon resist?","Darkness, Zombie, Poison, Imp, Petrify, Silence, Berserk"
"What status effects does the Zombie Dragon absorb?","Poison"
"How much HP does the Zombie Dragon have?","1991"
"What rage can be learned from the Zombie Dragon?","Doom"
"What sketch can be drawn from the Zombie Dragon?","Thundaga (3/4), Bone (1/4)"
"What abilities can be used while controlling the Zombie Dragon?","Attack, Bone, Poison, Bio"
"What is the Antares known as on the SNES?","Coelecite"
"What is the weakness of the Antares?","Zombie, Poison, MagiTek, Invisible, Petrify, Death, Doom, Critical, Image, Sap, Slow, Stop"
"Where is the Antares located?","Cave to the Sealed Gate (First Cave; B2F)"
"What does the Antares drop?","Antidote (1/8)"
"What can be stolen from the Antares?","Antidote (7/8), Hi-Potion (1/8)"
"What is the special attack of the Antares?","Dreamstinger (inflicts 'Sleep')"
"What status effects does the Antares resist?","Darkness, Imp, Silence, Berserk, Confusion, Sleep"
"What status effects does the Antares absorb?","Fire"
"How much HP does the Antares have?","480"
"What rage can be learned from the Antares?","Magnitude 8"
"What sketch can be drawn from the Antares?","Magnitude 8 (3/4), Dreamstinger (1/4)"
"What abilities can be used while controlling the Antares?","Attack, Dreamstinger, Magnitude 8"
"What is the weakness of the Lich?","MagiTek, Invisible, Death, Doom, Critical, Image, Confusion, Sap"
"Where is the Lich located?","Cave to the Sealed Gate (First Cave; B1F)"
"What does the Lich drop?","Green Cherry (1/8)"
"What can be stolen from the Lich?","Green Cherry (7/8), Poison Rod (1/8)"
"What type of monster is the Lich?","Undead"
"What is the special attack of the Lich?","Insanitouch (inflicts 'Confusion')"
"What status effects does the Lich resist?","Darkness, Zombie, Poison, Imp, Petrify, Silence, Berserk"
"What status effects does the Lich absorb?","Fire, Poison"
"How much HP does the Lich have?","590"
"What rage can be learned from the Lich?","Fira"
"What sketch can be drawn from the Lich?","Fira (3/4), Fire (1/4)"
"What abilities can be used while controlling the Lich?","Attack, Fire, Fira, Firaga"
"What is the Imperial Elite known as on the SNES?","Sp Forces"
"What is the weakness of the Imperial Elite?","Imp"
"Where is the Imperial Elite located?","Imperial Banquet (Talk to soldier during Break)"
"What does the Imperial Elite drop?","Magicite Shard (1/8)"
"What type of monster is the Imperial Elite?","Humanoid"
"What is the special attack of the Imperial Elite?","Gut Strike (300% damage)"
"What status effects does the Imperial Elite resist?","Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Death"
"How much HP does the Imperial Elite have?","700"
"What rage can be learned from the Imperial Elite?","Protect"
"What sketch can be drawn from the Imperial Elite?","Attack (3/4), Gut Strike (1/4)"
"What abilities can be used while controlling the Imperial Elite?","Attack, Gut Strike, Protect"
"What is the weakness of the Mega Armor?","Darkness, Invisible, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sleep, Slow, Stop"
"Where is the Mega Armor located?","Imperial Observation Post (Talk to the soldier in the Magitek suit) Vector (While talking to 24 Soldiers before Banquet)"
"What can be stolen from the Mega Armor?","Hi-Potion (7/8)"
"What is the special attack of the Mega Armor?","Metal Punch (150% damage)"
"What status effects does the Mega Armor resist?","Zombie, Poison, MagiTek, Imp, Petrify, Sap"
"How much HP does the Mega Armor have?","1000"
"What sketch can be drawn from the Mega Armor?","Magitek Laser (3/4), Metal Punch (1/4)"
"What abilities can be used while controlling the Mega Armor?","Attack, Metal Punch, Magitek Laser"
"What is the Briareus known as on the SNES?","Baskervor"
"What is the weakness of the Briareus?","Darkness, Zombie, MagiTek, Invisible, Imp, Petrify, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Briareus located?","Grass East of Veldt Overworld (Area around Thamasa)"
"What does the Briareus drop?","Hi-Potion (1/8)"
"What can be stolen from the Briareus?","Gaia Gear (1/8)"
"What is the special attack of the Briareus?","Claw (150% damage)"
"What status effects does the Briareus resist?","Poison, Death, Doom"
"How much HP does the Briareus have?","750"
"What rage can be learned from the Briareus?","Cyclonic"
"What sketch can be drawn from the Briareus?","Absolute Zero (3/4), Claw (1/4)"
"What abilities can be used while controlling the Briareus?","Attack, Claw, Snowstorm"
"What is the Devourer known as on the SNES?","Cephaler"
"What is the weakness of the Devourer?","Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Critical, Image, Silence, Berserk, Sap, Sleep, Slow, Stop"
"Where is the Devourer located?","Grass East of Veldt Overworld (Area around Thamasa)"
"What can be stolen from the Devourer?","Hi-Potion (7/8), Remedy (1/8)"
"What is the special attack of the Devourer?","Shell Slam (150% damage)"
"What status effects does the Devourer resist?","Imp, Death, Doom, Confusion"
"How much HP does the Devourer have?","420"
"What rage can be learned from the Devourer?","Shell Slam"
"What sketch can be drawn from the Devourer?","Attack (3/4), Shell Slam (1/4)"
"What abilities can be used while controlling the Devourer?","Attack, Shell Slam, Stop"
"What is the weakness of the Chimera?","Berserk"
"Where is the Chimera located?","Grass East of Veldt Overworld (Area around Thamasa) Dragon's Den (Holy Palace) [WoR]"
"What does the Chimera drop?","Golden Armor (1/8)"
"What can be stolen from the Chimera?","Hyper Wrist (1/8)"
"What is the special attack of the Chimera?","Romp (200% damage)"
"What status effects does the Chimera resist?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify"
"How much HP does the Chimera have?","2237"
"What rage can be learned from the Chimera?","Aqua Breath"
"What sketch can be drawn from the Chimera?","Aqua Breath (3/4), Romp (1/4)"
"What abilities can be used while controlling the Chimera?","Attack, Romp, Aqua Breath, Snowstorm"
"What is the weakness of the Intangir?","Invisible, Image, Slow, Stop"
"Where is the Intangir located?","Triangle Island"
"What does the Intangir drop?","Antidote (1/8)"
"What can be stolen from the Intangir?","Magicite Shard (1/8)"
"What is the special attack of the Intangir?","Sleep (unblockable; bestows 'Invisible')"
